title,runtimeMinutes,averageRating,numVotes,director,writer,productionBudget,domesticGross,worldwideGross,releaseYear,releaseMonth,releaseDay,genre-1,genre-2,genre-3,budgetYear,domesticGrossYear,worldwideGrossYear
The Glimmer Man,91,5.4,21158,John Gray,Kevin Brodbin,45000000,20404841,36404841,1996,10,4,Action,Comedy,Crime,22545.090180360723,10222.86623246493,18238.898296593186
Jerry Maguire,139,7.3,285244,Cameron Crowe,Cameron Crowe,50000000,153952592,273552592,1996,12,13,Comedy,Drama,Romance,25050.1002004008,77130.55711422846,137050.39679358716
Jingle All the Way,89,5.7,115754,Brian Levant,Randy Kornfield,60000000,60592389,129832389,1996,11,22,Adventure,Comedy,Family,30060.120240480963,30356.908316633268,65046.2870741483
Lone Star,135,7.4,31983,John Sayles,John Sayles,5000000,12961389,12961389,1996,6,21,Drama,Mystery,Western,2505.0100200400802,6493.681863727455,6493.681863727455
The Long Kiss Goodnight,121,6.8,85239,Renny Harlin,Shane Black,65000000,33447612,33447612,1996,10,11,Action,Crime,Drama,32565.13026052104,16757.320641282564,16757.320641282564
Marvin's Room,98,6.7,29860,Jerry Zaks,Scott McPherson,23000000,12803305,12803305,1996,12,20,Drama,NA,NA,11523.04609218437,6414.481462925852,6414.481462925852
Maximum Risk,101,5.5,23815,Ringo Lam,Larry Ferguson,25000000,14102929,51702929,1996,9,13,Action,Crime,Thriller,12525.0501002004,7065.595691382766,25903.27104208417
Michael Collins,133,7.1,33572,Neil Jordan,Neil Jordan,25000000,11317898,27798183,1996,10,11,Biography,Drama,Thriller,12525.0501002004,5670.289579158317,13926.945390781562
Phenomenon,123,6.4,83416,Jon Turteltaub,Gerald Di Pego,32000000,104636382,152036382,1996,7,5,Drama,Fantasy,Romance,16032.064128256514,52423.0370741483,76170.53206412826
Scream,111,7.4,385600,Wes Craven,Kevin Williamson,15000000,103046663,173046640,1996,12,20,Horror,Mystery,NA,7515.030060120241,51626.58466933868,86696.7134268537
Secrets & Lies,136,8.0,46884,Mike Leigh,Mike Leigh,4500000,13417292,16090874,1996,5,24,Comedy,Drama,NA,2254.509018036072,6722.090180360721,8061.560120240481
