title,runtimeMinutes,genres,averageRating,numVotes,director,writer,releaseDate,productionBudget,domesticGross,worldwideGross,releaseYear,releaseMonth,releaseDay
Light Sleeper,103,"Crime,Drama",6.9,9226,Paul Schrader,Paul Schrader,"Sep 21, 1992",5000000,1050861,1050861,1992,9,21
My Girl,102,"Comedy,Drama,Family",6.9,88253,Howard Zieff,Laurice Elehwany,"Nov 27, 1991",16500000,58011485,58011485,1991,11,27
Quigley Down Under,119,"Action,Adventure,Drama",6.9,24263,Simon Wincer,John Hill,"Oct 19, 1990",20000000,21413105,21413105,1990,10,19
Stone Cold,92,"Action,Crime,Drama",6.1,9939,Craig R. Baxley,Walter Doniger,"May 17, 1991",25000000,9286314,9286314,1991,5,17
The Bodyguard,129,"Action,Drama,Music",6.4,146678,Mick Jackson,Lawrence Kasdan,"Nov 25, 1992",25000000,122006740,411006740,1992,11,25
Buffy the Vampire Slayer,86,"Action,Comedy,Fantasy",5.7,49141,Fran Rubel Kuzui,Joss Whedon,"Jul 31, 1992",7000000,14231669,14231669,1992,7,31
The Crying Game,112,"Crime,Drama,Romance",7.2,59773,Neil Jordan,Neil Jordan,"Nov 25, 1992",4000000,62546695,62546695,1992,11,25
Excessive Force,87,Action,5.3,1479,Jon Hess,Thomas Ian Griffith,"May 14, 1993",13000000,1152117,1152117,1993,5,14
A Few Good Men,138,"Drama,Thriller",7.7,285344,Rob Reiner,Aaron Sorkin,"Dec 11, 1992",33000000,141340178,236500000,1992,12,11
Glengarry Glen Ross,100,"Crime,Drama,Mystery",7.7,115118,James Foley,David Mamet,"Sep 30, 1992",12500000,10725228,10725650,1992,9,30
Hoffa,140,"Biography,Crime,Drama",6.6,24669,Danny DeVito,David Mamet,"Dec 25, 1992",35000000,23365858,28391473,1992,12,25
Home Alone 2: Lost in New York,120,"Adventure,Comedy,Crime",6.9,400281,Chris Columbus,John Hughes,"Nov 20, 1992",20000000,173585516,358994850,1992,11,20
The Mighty Ducks,104,"Comedy,Drama,Family",6.6,71361,Stephen Herek,Steven Brill,"Oct 2, 1992",10000000,50752337,50752337,1992,10,2
My Cousin Vinny,120,"Comedy,Crime",7.6,138951,Jonathan Lynn,Dale Launer,"Mar 13, 1992",11000000,52929168,52929168,1992,3,13
The Player,124,"Comedy,Crime,Drama",7.5,65370,Robert Altman,Michael Tolkin,"Apr 10, 1992",8000000,21706101,28876702,1992,4,10
Raising Cain,92,"Crime,Drama,Horror",6.1,17339,Brian De Palma,Brian De Palma,"Aug 7, 1992",11000000,21171695,21171695,1992,8,7
Split Second,90,"Action,Crime,Horror",6.0,16493,Tony Maylam,Gary Scott Thompson,"May 1, 1992",7000000,5430822,5430822,1992,5,1
Unforgiven,130,"Drama,Western",8.2,433668,Clint Eastwood,David Webb Peoples,"Aug 7, 1992",14400000,101157447,159157447,1992,8,7
Dazed and Confused,103,Comedy,7.6,197959,Richard Linklater,Richard Linklater,"Sep 24, 1993",6900000,8146774,8154745,1993,9,24
Philadelphia,125,Drama,7.7,256684,Jonathan Demme,Ron Nyswaner,"Dec 22, 1993",26000000,77324422,201324422,1993,12,22
The Piano,121,"Drama,Music,Romance",7.5,94622,Jane Campion,Jane Campion,"Jul 22, 1993",7000000,40157856,40212480,1993,7,22
Poetic Justice,109,"Drama,Romance",6.1,16486,John Singleton,John Singleton,"Jul 23, 1993",14000000,27450453,27450453,1993,7,23
Rudy,114,"Biography,Drama,Sport",7.5,68622,David Anspaugh,Angelo Pizzo,"Oct 13, 1993",12000000,22750363,22750363,1993,10,13
Shadowlands,131,"Biography,Drama,Romance",7.3,20323,Richard Attenborough,William Nicholson,"Dec 29, 1993",22000000,25842377,25842377,1993,12,29
There Goes My Baby,99,"Comedy,Drama",6.3,1165,Floyd Mutrux,Floyd Mutrux,"Sep 2, 1994",10500000,125169,125169,1994,9,2
What's Eating Gilbert Grape,118,Drama,7.7,252608,Lasse Hallström,Peter Hedges,"Dec 25, 1993",11000000,9170214,9170214,1993,12,25
Clerks,92,Comedy,7.7,231513,Kevin Smith,Kevin Smith,"Oct 19, 1994",27000,3073428,3894240,1994,10,19
Exotica,103,Drama,7.0,20977,Atom Egoyan,Atom Egoyan,"Sep 23, 1994",1500000,5046118,5046118,1994,9,23
Four Weddings and a Funeral,117,"Comedy,Drama,Romance",7.1,164930,Mike Newell,Richard Curtis,"Mar 9, 1994",4500000,52700832,242895809,1994,3,9
A Low Down Dirty Shame,100,"Action,Comedy,Crime",5.9,7737,Keenen Ivory Wayans,Keenen Ivory Wayans,"Nov 23, 1994",10000000,29317886,29317886,1994,11,23
Renaissance Man,128,"Comedy,Drama",6.2,18947,Penny Marshall,Jim Burnstein,"Jun 3, 1994",40000000,24172899,24172899,1994,6,3
The River Wild,111,"Adventure,Crime,Thriller",6.5,49904,Curtis Hanson,Denis O'Neill,"Sep 30, 1994",45000000,46815000,94215000,1994,9,30
Serial Mom,95,"Comedy,Crime,Thriller",6.8,32409,John Waters,John Waters,"Apr 13, 1994",13000000,7881335,7881335,1994,4,13
Speed,116,"Action,Adventure,Thriller",7.3,389273,Jan de Bont,Graham Yost,"Jun 10, 1994",30000000,121248145,283200000,1994,6,10
Street Fighter,102,"Action,Adventure,Comedy",4.0,74957,Steven E. de Souza,Steven E. de Souza,"Dec 23, 1994",35000000,33423000,99423000,1994,12,23
The American President,114,"Comedy,Drama,Romance",6.8,60364,Rob Reiner,Aaron Sorkin,"Nov 17, 1995",62000000,60022813,107822813,1995,11,17
Braveheart,178,"Biography,Drama,History",8.3,1085776,Mel Gibson,Randall Wallace,"May 24, 1995",72000000,75545647,209045244,1995,5,24
The Brothers McMullen,98,"Comedy,Drama,Romance",6.6,8162,Edward Burns,Edward Burns,"Aug 9, 1995",50000,10426506,10426506,1995,8,9
Clueless,97,"Comedy,Romance",6.9,243260,Amy Heckerling,Amy Heckerling,"Jul 1, 1995",13700000,56598476,57956789,1995,7,1
Desperado,104,"Action,Crime,Drama",7.1,196688,Robert Rodriguez,Robert Rodriguez,"Aug 25, 1995",7000000,25532388,25532388,1995,8,25
The Incredibly True Adventure of Two Girls in Love,94,"Comedy,Drama,Romance",6.6,5062,Maria Maggenti,Maria Maggenti,"Jun 16, 1995",250000,2210408,2477155,1995,6,16
Jade,95,"Crime,Drama,Thriller",5.3,14123,William Friedkin,Joe Eszterhas,"Oct 13, 1995",50000000,9812870,9812870,1995,10,13
Jefferson in Paris,139,"Biography,Drama,History",5.7,3178,James Ivory,Ruth Prawer Jhabvala,"Mar 31, 1995",14000000,2461628,2461628,1995,3,31
Mallrats,94,"Comedy,Romance",7.0,128376,Kevin Smith,Kevin Smith,"Oct 20, 1995",6100000,2108367,2108367,1995,10,20
The Quick and the Dead,108,"Action,Drama,Romance",6.5,102158,Sam Raimi,Simon Moore,"Feb 10, 1995",32000000,18552460,18552460,1995,2,10
Rob Roy,139,"Adventure,Biography,Drama",6.9,45390,Michael Caton-Jones,Alan Sharp,"Apr 7, 1995",28000000,31390587,31390587,1995,4,7
Se7en,127,"Crime,Drama,Mystery",8.6,1782687,David Fincher,Andrew Kevin Walker,"Sep 22, 1995",30000000,100125643,328125643,1995,9,22
Showgirls,128,Drama,5.1,73988,Paul Verhoeven,Joe Eszterhas,"Jan 6, 1995",40000000,20350754,37750754,1995,1,6
Species,108,"Action,Horror,Sci-Fi",5.9,84838,Roger Donaldson,Dennis Feldman,"Jul 7, 1995",35000000,60054449,113354449,1995,7,7
The Usual Suspects,106,"Crime,Drama,Mystery",8.5,1138821,Bryan Singer,Christopher McQuarrie,"Aug 16, 1995",6000000,23341568,34449356,1995,8,16
Virtuosity,106,"Action,Crime,Sci-Fi",5.5,32197,Brett Leonard,Eric Bernt,"Aug 4, 1995",30000000,23998226,23998226,1995,8,4
Broken Arrow,108,"Action,Adventure,Thriller",6.1,104788,John Woo,Graham Yost,"Feb 9, 1996",65000000,70645997,148345997,1996,2,9
The Cable Guy,96,"Comedy,Drama,Thriller",6.1,176985,Ben Stiller,Lou Holtz Jr.,"Jun 14, 1996",47000000,60240295,102825796,1996,6,14
Courage Under Fire,116,"Action,Drama,Mystery",6.6,59199,Edward Zwick,Patrick Sheane Duncan,"Jul 12, 1996",46000000,59003384,100833145,1996,7,12
Daylight,114,"Action,Adventure,Drama",5.9,76395,Rob Cohen,Leslie Bohem,"Dec 6, 1996",80000000,32908290,158908290,1996,12,6
Everyone Says I Love You,101,"Comedy,Musical,Romance",6.7,39214,Woody Allen,Woody Allen,"Dec 6, 1996",20000000,9725847,34600000,1996,12,6
Faithful,91,"Comedy,Crime,Drama",5.8,2259,Paul Mazursky,Chazz Palminteri,"Apr 5, 1996",13000000,2104439,2104439,1996,4,5
Fled,98,"Action,Adventure,Crime",5.4,9753,Kevin Hooks,Preston A. Whitmore II,"Jul 19, 1996",30000000,17192205,19892205,1996,7,19
Flirting with Disaster,92,Comedy,6.7,19904,David O. Russell,David O. Russell,"Mar 22, 1996",7000000,14853474,16149180,1996,3,22
Freeway,102,"Crime,Drama,Thriller",6.8,31386,Matthew Bright,Matthew Bright,"Aug 23, 1996",3000000,295493,295493,1996,8,23
The Funeral,99,"Crime,Drama",6.6,9357,Abel Ferrara,Nicholas St. John,"Nov 1, 1996",12500000,1212799,1412799,1996,11,1
Get on the Bus,120,"Adventure,Drama,History",6.9,6009,Spike Lee,Reggie Rock Bythewood,"Oct 16, 1996",2400000,5691854,5691854,1996,10,16
The Ghost and the Darkness,110,"Adventure,Drama,Thriller",6.8,65689,Stephen Hopkins,William Goldman,"Oct 11, 1996",55000000,38564422,38564422,1996,10,11
Ghosts of Mississippi,130,"Drama,History",6.7,12101,Rob Reiner,Lewis Colick,"Dec 20, 1996",36000000,13052741,13052741,1996,12,20
Girl 6,108,"Comedy,Drama",5.3,6597,Spike Lee,Suzan-Lori Parks,"Mar 22, 1996",12000000,4880941,4880941,1996,3,22
